;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
824;1342;pg_824;Ich werde neben meinem Studium immer mindestens in einer Teilzeit Beschäftigung arbeiten;0.75;0.5;0;1;1;1;1;0.75;0.25;1;0.25;1;1;0;0.39;1;1;1;0;0;1;1;0.39;0.87;1;0.25;0.61;1;0.75;0.75;1;0
825;1342;pg_825;Ich werde mein Studium (Bachelor und MAster) in Regelstudienzeit schaffen;1;0.5;0;0.75;0.75;0.75;1;0.44;0.75;0.57;0.25;1;1;0;0.25;1;1;1;0;0;1;1;0;0.75;0.75;0.25;0.44;0.88;0.63;0.24;0.5;0
839;1359;pg_839;Ich möchte eine Idee davon entwickeln, was ich später im Beruf ausüben möchte.;0.25;1;1;0.75;0.9;0.5;1;0.75;0.5;0.25;0.75;0.25;0.5;0.75;0.25;0.74;0.75;0.76;0.5;0.25;0.75;1;0.74;0.75;1;0.25;0.75;1;0.5;0.74;1;0
840;1359;pg_840;Ich möchte auf mein Wissen und Können vertrauen können, um in der Praxis sicher handeln zu können.;0.76;1;1;0.75;0.5;0.75;1;1;0.25;0.25;0.25;0.75;0.74;0.25;0.25;0.5;0.75;0.76;0.75;0.25;0.75;1;0.5;0.75;1;0.75;0.75;1;0.49;0.5;0.75;0
841;1359;pg_841;Ich möchte lernen mir selber zu vertrauen.;0.25;0.75;1;1;1;0.25;1;1;0.25;0.75;1;0.25;0.75;0.75;0.75;0.75;0.25;0.26;0.75;0.25;0.75;1;1;0.75;1;0.25;0.5;1;1;1;1;0
854;1382;pg_854;Ich will eine starke Wissensbasis in meinen Fachbereichen haben. ;0.75;0.79;0.66;0.6;0.75;0.67;0.8;0.46;0.52;0.53;0.75;0.71;0.69;0.56;0.43;0.65;0.56;0.47;0.49;0.44;0.54;0.74;0.74;0.79;0.8;0.31;0.73;0.87;0.57;0.59;0.63;0.35
855;1382;pg_855;Ich will praxisnahe Handlungsoptionen für meinen zukünftigen Beruf kennen. ;0.75;0.74;0.72;0.67;0.54;0.63;0.79;0.54;0.46;0.53;0.72;0.58;0.58;0.57;0.53;0.62;0.46;0.42;0.55;0.44;0.44;0.65;0.72;0.75;0.75;0.67;0.67;0.86;0.63;0.55;0.65;0.37
856;1382;pg_856;Ich möchte meine sozialen Kompetenzen stärken. ;0.25;0.31;0.99;1;1;0.42;1;1;0.11;0.82;0.69;0.54;0.44;0.76;0.4;0.75;0.45;0.63;0.6;0.44;0.62;0.75;0.9;0.94;0.86;0.36;0.82;0.86;0.56;0.79;0.77;0.28
851;1380;pg_851;Selbstliebe total;0.63;0.51;1;1;1;0.53;0.66;0.57;0.54;0.63;0.4;0.57;1;0.75;0.55;0.74;0.93;0.93;0.67;0;1;0.98;0.99;0.98;1;0.38;0.96;0.94;0.94;1;0.99;0
852;1380;pg_852;Selbstvertrauen;0.6;0.52;0.9;1;1;0.53;0.62;0.57;0.53;0.64;0.44;0.54;1;0.81;0.55;0.75;0.84;0.93;0.69;0;1;0.99;0.95;0.85;0.94;0.84;0.84;0.86;0.8;0.72;0.81;0
