;participant_id;goal_id;personal_goal_id;goal;pre_gcq_1;post_gcq_1;pre_gcq_9;post_gcq_9;pre_gcq_10;post_gcq_10;pre_gcq_14;post_gcq_14;pre_gcq_19;post_gcq_19;pre_gcq_21;post_gcq_21;pre_gcq_29;post_gcq_29;pre_gcq_34;post_gcq_34;pre_gcq_36;post_gcq_36;pre_gcq_38;post_gcq_38;pre_gcq_45;post_gcq_45;pre_gcq_49;post_gcq_49;pre_gcq_51;post_gcq_51;pre_gcq_60;post_gcq_60;pre_gcq_62;post_gcq_62;pre_gcq_67;post_gcq_67;pre_gcq_73;post_gcq_73;pre_gcq_74;post_gcq_74;pre_gcq_78;post_gcq_78;pre_gcq_83;post_gcq_83;pre_gcq_87;post_gcq_87;pre_gcq_90;post_gcq_90;pre_gcq_95;post_gcq_95;pre_gcq_99;post_gcq_99;pre_gcq_105;post_gcq_105;pre_gcq_109;post_gcq_109;pre_gcq_112;post_gcq_112;pre_gcq_116;post_gcq_116;pre_gcq_122;post_gcq_122;pre_gcq_126;post_gcq_126;pre_gcq_129;post_gcq_129;pre_gcq_132;post_gcq_132
5811;1305;5811;794;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5868;1328;5868;810;Meine berufliche Zukunft sichern.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5916;1317;5916;812;Viele neue Dinge lernen, vor allem auf den Themengebieten weiterbilden, für die ich mich schon lange interessiere.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5860;1324;5860;801;Sehr viel Wissen über meine Interessenbereiche sammeln.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5877;1331;5877;814;Ein umfangreiches Fachwissen, um damit Arbeiten zu können. Und um eine Grundlage zu haben, auf der ich aufbauen kann.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5901;1302;5901;828;Ich möchte gerne mit einer Promotion an das Studium anknüpfen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5888;1342;5888;823;Ich möchte sowhl Bachelor als auch Master mit einer Note besser als 2,0 abschließen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5923;1310;5923;832;I want to complete the course with a very high score as I work hard on subjects throughout the semester.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5941;1359;5941;840;Ich möchte auf mein Wissen und Können vertrauen können, um in der Praxis sicher handeln zu können.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5951;1361;5951;842;Ich möchte meinen Master Abschluss erhalten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6009;1382;6009;854;Ich will eine starke Wissensbasis in meinen Fachbereichen haben. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5975;1341;5975;847;Ich möchte mich persönlich weiterentwickelt haben.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6003;1380;6003;851;Selbstliebe total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6002;1380;6002;852;Selbstvertrauen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6026;1393;6026;858;Ich möchte meine Sprachkenntnisse verbessern (Englisch, Französisch, Türkisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6042;1435;6042;875;Gut in den Klausuren abschneiden ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6053;1482;6053;876;Ich möchte eine qualitativ gute Bachelorarbeit abgeben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6068;1495;6068;881;Ich möchte Praktika machen, die mich in dem genannten Zeil weiterbringen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6153;1604;6153;914;Ich möchte Wissen ansammeln, das ich später brauche.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6136;1594;6136;902;Fähigkeit, stark umzudenken, und immer persönlich zu expandieren, niemals stagnieren.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6107;1584;6107;892;Ich möchte einen Master in Informatik oder Künstliche Intelligenz erreichen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6123;1588;6123;897;Die Bildung von Sozialen Kontakten die auch in Zukunft halten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6142;1597;6142;903;Ich möchte lernen, besser mit Stress umzugehen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6214;1616;6214;923;Mein Verständnis von Psychologie verbessern und meine Berufswahl eingrenzen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6193;1615;6193;921;Ich möchte Freund:innen und Erfahrungen für das Leben finden/sammeln.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6242;1617;6242;928;Bachelorabschluss im Jahr 2023 schaffen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6253;1619;6253;932;ich möchte mein Studium in der vorgesehenen Zeit abschließen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6265;1634;6265;937;Gute Noten Schreiben. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6257;1620;6257;936;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6281;1648;6281;940;Ich möchte meine Prüfungen und somit langfristig mein Studium bestehen. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6300;1662;6300;945;Ich möchte mir möglichst wenig Druck bei Klasusuren oder Ähnlichem machen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6311;1665;6311;950;Ich möchte mein Studium schaffen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
